# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
babelîç	yüzük parmağı
babet	cins
babet	husus
babet	konu
babet	tür
babet	vesile
babfile	dönme (zorla (sözde)Müslüman olanlar)
babidest	eli boş
babir	paravan
babirek	yelken
bablîsok	hortum
bablîsok	hortum (hava)
bac	gümrük vergisi
bac	vergi
bacan	patlıcan
bacana reş	patlıcan
bacana sor	domates
bacanê sor	domates
bacên neyekser	dolaylı vergiler
bacên yekser	dolaysız vergiler
bacgeh	gümrük
bacgir	tahsildar
bacî	bir müzik makamı
baçık	sigara
baçemok	yarasa
baçermok	yarasa
badak	sarmaşık
badan	bükmek
badan	kıvırmak
badank	büklüm
badar	rüzgarlı
badayî	bükülü
bade	kadeh
badek	burgu
badek	delgi
badek	sarmaşık
badîhewa	boşuna
badîhewa	faydasız
badîhewa	yararı olmayan iş
badîn	bardak
badîn	kadeh
badok	direksiyon
bafik	bahane
bafik	mazeret
bafirok	uçurtma
bafûn	alüminyum
bagaj	bagaj
bager	karla birlikte esen şiddetli rüzgar
bager	kasırga
bagêje	hava hortumu (met.)
bah	şehvet
bahane	bahane
baharat	baharat
bahî	şehvetli
bahor	grip
bahor	nezle
bahorî	grip hastalığına yakalanan
bahorî	nezle olan kişi
bahoz	fırtına
bahoz	kararsız kişi
bahoz	sert rüzgar
bajar	kent
bajar	şehir
bajarê mezin	büyük şehir
bajarê mezin	metropol
bajarî	kentli
bajarî	şehirli
bajarîbûn	kentlileşme
bajarok	belde
bajarok	ilçe
bajarok	kasaba
bajarsazî	şehir planlamacılığı
bajarvanî	şehircilik
bajen	yelpaze
bajenîn	yelpazelemek
bakir	guguk kuşu
bakirin	savurmak
bakterî	bakteri
bakterîzanî	bakteriyoloji
bakur	kuzey
bakut	kar dolgusu
bal	dikkat
bal	ilgi
bal	ilgi. "Bala xwe dayîn." dikkat etmek
bal	yoğunlaşmak
bal dan	dikkat etmek
bal kişandin	dikkat çekmek
bala	yukarı
bala	yüksek
bala xwe dan	dikkat etmek
balaban	afacan
balafir	uçak
balafirgeh	hava alanı
balafirkişên	uçaksavar
balafirşikên	uçaksavar
balandin	dolamak
balav	çamaşır yıkama günü su kenarı
balcan	patlıcan
baldar	dikkatli
bale	ahmak
bale	alık
bale	aptal
bale	ebleh
baleban	afacan
balexane	gökdelen
balê	bari
balgeh	yastık
balinde	kartal
balinde	kuş
balinde	şahin vb. kuşlar
balix	arı kovanların kurulduğu yer
balix	ergen
balîf	yastık
balkêş	dikkat çekici
balkêş	enteresan
balkêş	göz alıcı
balkêş	ilgi çekici
balkêş	ilginç
balkêş kişandin	ihtar etmek
balkêş kişandin	ilgi çekmek
balkêşname	ihtarname
balkişandin	dikkat çekmek
balkişandin	vugulamak
balme	saçma (tüfek)
balo	balo
balon	balon
balor	silindir
balûg	siğil
balûle	dürüm
balûr	nasır
balyoz	büyük elçi
balyoz	büyükelçi
balyoz	sefir
balyozxane	büyükelçilik
balyozxane	elçilik
bamarî	üvey baba
bamişt	tipi
bamye	bamya
ban	çatı
ban	dam
banandin	alıştırmak
band	bant
bandemjmêr	çalar saat
bandev	bir şeyin üst çıkış ağzı
bandev	doruk
bandev	kar fırtınası
